"Country",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases

"
North America
","39,072,935","+4,567","876,200",+357,"31,184,620","+2,264","7,012,115"

"
Asia
","45,716,026","+18,614","592,281",+296,"39,819,417","+21,864","5,304,328"

"
South America
","26,416,486",,"718,992",,"23,963,543",,"1,733,951"

"
Europe
","45,892,771","+28,861","1,045,378","+1,135","41,467,758","+61,125","3,379,635"

"
Africa
","4,708,640",+2,"125,938",,"4,243,248",,"339,454"

"
Oceania
","65,407",+3,"1,222",,"61,315",,"2,870"

"

",721,,15,,706,,0

World,"161,872,986","+52,047","3,360,026","+1,788","140,740,607","+85,241","17,772,353"

USA,"33,626,097",,"598,540 ",,"26,667,199",,"6,360,358"

India,"24,046,809",+689,"262,350 ",,"20,079,599","+6,232","3,704,860"

Brazil,"15,436,827",,"430,596 ",,"13,979,329",,"1,026,902"

France,"5,841,129",,"107,250 ",,"4,999,079",,"734,800"

Turkey,"5,083,996",,"44,059 ",,"4,856,763",,"183,174"

Russia,"4,922,901","+9,462","115,116 ",+393,"4,537,634","+9,756","270,151"

UK,"4,444,631",,"127,651 ",,"4,258,298",,"58,682"

Italy,"4,139,160",,"123,745 ",,"3,669,407",,"346,008"

Spain,"3,598,452",,"79,281 ",,"3,297,340",,"221,831"

Germany,"3,575,644",,"86,276 ",,"3,259,000","+18,700","230,368"

Argentina,"3,242,103",,"69,254 ",,"2,891,435",,"281,414"

Colombia,"3,067,879",,"79,760 ",,"2,874,656",,"113,463"

Poland,"2,849,014","+3,288","71,311 ",+289,"2,589,277","+4,526","188,426"

Iran,"2,722,007",,"76,231 ",,"2,179,890",,"465,886"

Mexico,"2,375,115","+3,632","219,901 ",+311,"1,895,483","+2,247","259,731"

Ukraine,"2,143,448","+7,562","47,620 ",+287,"1,832,601","+15,958","263,227"

Peru,"1,873,316",,"65,316 ",,"1,720,665",,"87,335"

Indonesia,"1,731,652",,"47,716 ",,"1,589,079",,"94,857"

Czechia,"1,651,178","+1,218","29,857 ",+11,"1,588,346",+99,"32,975"

South Africa,"1,605,252",,"55,012 ",,"1,520,878",,"29,362"

Netherlands,"1,583,767",,"17,413 ",,"1,346,612",,"219,742"

Canada,"1,312,414",,"24,825 ",,"1,212,114",,"75,475"

Chile,"1,266,601",,"27,520 ",,"1,204,176",,"34,905"

Iraq,"1,132,092",,"15,883 ",,"1,028,627",,"87,582"

Philippines,"1,131,467","+6,784","18,958 ",+137,"1,053,523","+2,972","58,986"

Romania,"1,069,770",,"29,308 ",,"1,020,194",,"20,268"

Sweden,"1,027,934",,"14,267 ",,"871,072",,"142,595"

Belgium,"1,026,473","+2,890","24,645 ",+15,"897,904",,"103,924"

Pakistan,"873,220","+2,517","19,384 ",+48,"780,438","+4,123","73,398"

Portugal,"840,929",,"16,999 ",,"801,961",,"21,969"

Israel,"839,059",,"6,379 ",,"831,888",,792

Hungary,"796,390","+1,190","29,041 ",+71,"608,891","+8,430","158,458"

Bangladesh,"778,687",,"12,076 ",,"719,619",,"46,992"

Jordan,"722,754",,"9,203 ",,"710,410",,"3,141"

Serbia,"704,398",,"6,629 ",,"671,361",,"26,408"

Switzerland,"677,210",,"10,728 ",,"612,471",,"54,011"

Japan,"658,629",,"11,165 ",,"573,913",,"73,551"

Austria,"635,780",+887,"10,455 ",+11,"612,523","+1,269","12,802"

UAE,"542,158",,"1,623 ",,"522,356",,"18,179"

Lebanon,"534,968",,"7,569 ",,"492,270",,"35,129"

Morocco,"514,670",,"9,091 ",,"502,205",,"3,374"

Malaysia,"458,077",,"1,788 ",,"414,707",,"41,582"

Nepal,"431,191",,"4,466 ",,"321,518",,"105,207"

Saudi Arabia,"430,505",,"7,122 ",,"414,139",,"9,244"

Bulgaria,"413,320",,"17,194 ",,"360,002",,"36,124"

Ecuador,"405,783",,"19,442 ",,"342,878",,"43,463"

Slovakia,"387,162",+294,"12,168 ",+33,"370,076",+428,"4,918"

Belarus,"372,242",,"2,671 ",,"362,806",,"6,765"

Greece,"371,712",,"11,266 ",,"333,892",,"26,554"

Panama,"369,455",,"6,288 ",,"358,358",,"4,809"

Kazakhstan,"353,140","+2,549","4,017 ",+33,"310,168","+2,704","38,955"

Croatia,"348,158",,"7,623 ",,"332,669",,"7,866"

Azerbaijan,"328,668",,"4,742 ",,"311,198",,"12,728"

Georgia,"327,831","+1,390","4,397 ",+18,"307,334","+1,070","16,100"

Bolivia,"324,868",,"13,345 ",,"266,512",,"45,011"

Tunisia,"324,823",,"11,693 ",,"284,754",,"28,376"

Paraguay,"307,457",,"7,427 ",,"254,360",,"45,670"

Palestine,"303,270",,"3,401 ",,"288,891",,"10,978"

Kuwait,"289,243",,"1,674 ",,"274,554",,"13,015"

Costa Rica,"279,926",,"3,514 ",,"219,105",,"57,307"

Dominican Republic,"274,319",,"3,560 ",,"232,625",,"38,134"

Ethiopia,"264,960",,"3,951 ",,"215,734",,"45,275"

Denmark,"263,514",,"2,499 ",,"248,683",,"12,332"

Lithuania,"263,475","+1,125","4,084 ",+12,"237,431",+989,"21,960"

Ireland,"254,450",,"4,937 ",,"236,747",,"12,766"

Moldova,"253,386",,"5,995 ",,"244,298",,"3,093"

Slovenia,"248,046",,"4,308 ",,"235,106",,"8,632"

Egypt,"242,120",,"14,150 ",,"179,261",,"48,709"

Guatemala,"238,787",,"7,832 ",,"218,321",,"12,634"

Uruguay,"231,901",,"3,318 ",,"201,367",,"27,216"

Honduras,"223,922",+930,"5,898 ",+45,"82,187",,"135,837"

Armenia,"220,447",+230,"4,301 ",+10,"207,464",+712,"8,682"

Qatar,"212,423",,522 ,,"205,160",,"6,741"

Venezuela,"211,838",,"2,352 ",,"195,380",,"14,106"

Oman,"202,713",,"2,148 ",,"186,391",,"14,174"

Bosnia and Herzegovina,"202,003",,"8,958 ",,"168,145",,"24,900"

Bahrain,"196,105",,715 ,,"179,958",,"15,432"

Libya,"181,179",,"3,085 ",,"167,629",,"10,465"

Nigeria,"165,612",,"2,066 ",,"156,387",,"7,159"

Kenya,"164,720",,"2,968 ",,"113,248",,"48,504"

North Macedonia,"154,494",,"5,168 ",,"143,069",,"6,257"

Myanmar,"143,004",,"3,212 ",,"132,069",,"7,723"

Sri Lanka,"135,796",,892 ,,"108,802",,"26,102"

Albania,"131,890",,"2,426 ",,"121,122",,"8,342"

S. Korea,"130,380",+747,"1,893 ",+2,"120,395",+489,"8,092"

Latvia,"127,053",+666,"2,248 ",+8,"115,670",+689,"9,135"

Estonia,"126,642",+279,"1,217 ",+5,"118,008",+426,"7,417"

Algeria,"124,889",,"3,355 ",,"87,003",,"34,531"

Cuba,"120,561",,778 ,,"113,493",,"6,290"

Norway,"118,315",,774 ,,"88,952",,"28,589"

Kyrgyzstan,"99,845",+200,"1,687 ",+6,"92,953",+235,"5,205"

Montenegro,"98,619",,"1,551 ",,"95,544",,"1,524"

Uzbekistan,"96,117",+291,667 ,,"91,507",+206,"3,943"

Thailand,"96,050","+2,256",548 ,+30,"62,316","+1,701","33,186"

Ghana,"93,159",,783 ,,"90,992",,"1,384"

Zambia,"92,262",,"1,260 ",,"90,635",,367

Finland,"89,532",,930 ,,"46,000",,"42,602"

Cameroon,"74,946",,"1,152 ",,"70,497",,"3,297"

El Salvador,"70,915",,"2,173 ",,"66,418",,"2,324"

Cyprus,"70,571",,342 ,,"39,061",,"31,168"

Mozambique,"70,315",,826 ,,"68,314",,"1,175"

Luxembourg,"68,899",,806 ,,"65,513",,"2,580"

Afghanistan,"63,349",,"2,730 ",,"54,619",,"6,000"

Singapore,"61,453",,31 ,,"61,029",,393

Namibia,"50,733",,704 ,,"47,776",,"2,253"

Botswana,"49,041",,751 ,,"46,290",,"2,000"

Mongolia,"47,548",+515,200 ,+7,"38,330","+1,049","9,018"

Jamaica,"47,020",,834 ,,"22,761",,"23,425"

Ivory Coast,"46,520",,294 ,,"45,977",,249

Uganda,"42,578",,346 ,,"41,971",,261

Maldives,"41,308",,87 ,,"27,428",,"13,793"

Senegal,"40,790",,"1,122 ",,"39,501",,167

Madagascar,"39,759",,745 ,,"37,150",,"1,864"

Zimbabwe,"38,491",,"1,582 ",,"36,286",,623

Sudan,"34,272",,"2,446 ",,"27,949",,"3,877"

Malawi,"34,200",,"1,153 ",,"32,176",,871

DRC,"30,478",,775 ,,"26,601",,"3,102"

Malta,"30,473",,417 ,,"29,867",,189

Australia,"29,957",+2,910 ,,"28,861",,186

Angola,"29,695",,649 ,,"25,629",,"3,417"

Cabo Verde,"27,386",,243 ,,"24,289",,"2,854"

Rwanda,"25,934",,342 ,,"24,486",,"1,106"

Gabon,"23,734",,143 ,,"20,270",,"3,321"

Syria,"23,595",,"1,682 ",,"19,908",,"2,005"

Guinea,"22,719",,151 ,,"20,341",,"2,227"

R�union,"22,644",,169 ,,"21,603",,872

Cambodia,"21,499",+358,147 ,+5,"9,867",+348,"11,485"

French Guiana,"21,433",,108 ,,"9,995",,"11,330"

Mayotte,"20,176",,171 ,,"2,964",,"17,041"

French Polynesia,"18,797",,141 ,,"18,617",,39

Mauritania,"18,767",,457 ,,"17,999",,311

Eswatini,"18,497",,671 ,,"17,786",,40

Guadeloupe,"16,017",,221 ,,"2,242",,"13,554"

Guyana,"14,845",,333 ,,"12,693",,"1,819"

Trinidad and Tobago,"14,814",,256 ,,"9,744",,"4,814"

Somalia,"14,486",,753 ,,"6,325",,"7,408"

Mali,"14,149",,508 ,,"9,123",,"4,518"

Andorra,"13,470",,127 ,,"13,104",,239

Burkina Faso,"13,387",,164 ,,"13,184",,39

Tajikistan,"13,308",,90 ,,"13,218",,0

Haiti,"13,268",,269 ,,"12,397",,602

Papua New Guinea,"13,242",,133 ,,"10,995",,"2,114"

Togo,"13,238",,125 ,,"11,834",,"1,279"

Belize,"12,709",,323 ,,"12,331",,55

Cura�ao,"12,244",,118 ,,"12,052",,74

Hong Kong,"11,819",+1,210 ,,"11,516",+5,93

Martinique,"11,736",,90 ,,98,,"11,548"

Suriname,"11,572",,221 ,,"10,034",,"1,317"

Djibouti,"11,389",,151 ,,"11,221",,17

Congo,"11,343",,148 ,,"8,208",,"2,987"

Bahamas,"11,024",,216 ,,"9,967",,841

Aruba,"10,826",,104 ,,"10,628",,94

Lesotho,"10,778",,320 ,,"6,427",,"4,031"

South Sudan,"10,641",,115 ,,"10,462",,64

Seychelles,"9,184",,32 ,,"6,413",,"2,739"

Benin,"7,995",,101 ,,"7,652",,242

Equatorial Guinea,"7,694",,112 ,,"7,279",,303

Nicaragua,"7,086",,184 ,,"4,225",,"2,677"

CAR,"6,866",,95 ,,"5,112",,"1,659"

Iceland,"6,526",,29 ,,"6,422",,75

Yemen,"6,507",,"1,278 ",,"3,003",,"2,226"

Gambia,"5,934",,175 ,,"5,648",,111

Niger,"5,326",,192 ,,"4,936",,198

San Marino,"5,083",,90 ,,"4,968",,25

Chad,"4,895",,172 ,,"4,672",,51

Saint Lucia,"4,725",,75 ,,"4,502",,148

Gibraltar,"4,286",,94 ,,"4,189",,3

Burundi,"4,261",,6 ,,773,,"3,482"

Sierra Leone,"4,096",,79 ,,"3,098",,919

Channel Islands,"4,057",,86 ,,"3,956",,15

Barbados,"3,959",,46 ,,"3,908",,5

Timor-Leste,"3,879",,8 ,,"2,060",,"1,811"

Comoros,"3,860",,146 ,,"3,688",,26

Eritrea,"3,822",,12 ,,"3,639",,171

Vietnam,"3,756",+46,35 ,,"2,657",,"1,064"

Guinea-Bissau,"3,743",,67 ,,"3,418",,258

Liechtenstein,"2,980",,58 ,,"2,887",,35

New Zealand,"2,645",+1,26 ,,"2,601",+1,18

Monaco,"2,490",,32 ,,"2,428",,30

Bermuda,"2,462",+1,32 ,+1,"2,234",+12,196

Turks and Caicos,"2,404",,17 ,,"2,365",,22

Sao Tome and Principe,"2,320",,35 ,,"2,270",,15

Sint Maarten,"2,272",,27 ,,"2,213",,32

Liberia,"2,114",,85 ,,"1,962",,67

St. Vincent Grenadines,"1,932",+4,12 ,,"1,769",+5,151

Saint Martin,"1,773",,12 ,,"1,399",,362

Isle of Man,"1,590",,29 ,,"1,555",,6

Caribbean Netherlands,"1,590",,17  ,,"1,558",,15

Laos,"1,482",,1 ,,431,,"1,050"

Taiwan,"1,290",+34,12 ,,"1,107",+5,171

Mauritius,"1,277",+2,17 ,,"1,130",,130

Bhutan,"1,263",,1 ,,"1,121",,141

Antigua and Barbuda,"1,240",,32 ,,"1,179",,29

St. Barth,974,,1 ,,462,,511

Diamond Princess,712,,13 ,,699,,0

Faeroe Islands,669,,1 ,,663,,5

Cayman Islands,561,,2 ,,546,,13

Tanzania,509,,21 ,,183,,305

Wallis and Futuna,445,,7 ,,44,,394

Brunei ,232,,3 ,,220,,9

British Virgin Islands,219,,1 ,,193,,25

Dominica,178,, ,,176,,2

Fiji,165,,4 ,,109,,52

Grenada,161,,1 ,,160,,0

New Caledonia,124,, ,,58,,66

Anguilla,109,, ,,89,,20

Falkland Islands,63,, ,,63,,0

Macao,49,, ,,49,,0

Saint Kitts and Nevis,45,, ,,44,,1

Greenland,31,, ,,31,,0

Vatican City,27,, ,,15,,12

Saint Pierre Miquelon,25,, ,,25,,0

Montserrat,20,,1 ,,19,,0

Solomon Islands,20,, ,,20,,0

Western Sahara,10,,1 ,,8,,1

MS Zaandam,9,,2 ,,7,,0

Vanuatu,4,,1 ,,3,,0

Marshall Islands,4,, ,,4,,0

Samoa,3,, ,,2,,1

Saint Helena,2,, ,,2,,0

Micronesia,1,, ,,1,,0

China,"90,815",+7,"4,636 ",,"85,894",+13,285

Total:,"39,072,935","+4,567","876,200",+357,"31,184,620","+2,264","7,012,115"

Total:,"45,716,026","+18,614","592,281",+296,"39,819,417","+21,864","5,304,328"

Total:,"26,416,486",,"718,992",,"23,963,543",,"1,733,951"

Total:,"45,892,771","+28,861","1,045,378","+1,135","41,467,758","+61,125","3,379,635"

Total:,"4,708,640",+2,"125,938",,"4,243,248",,"339,454"

Total:,"65,407",+3,"1,222",,"61,315",,"2,870"

Total:,721,,15,,706,,0

Total:,"161,872,986","+52,047","3,360,026","+1,788","140,740,607","+85,241","17,772,353"



"
Asia
","45,697,412","+432,323","591,985","+5,520","39,797,553","+474,770","5,307,874"

"
North America
","39,068,368","+57,706","875,843","+1,262","31,182,356","+61,761","7,010,169"

"
South America
","26,416,486","+146,018","718,992","+4,123","23,963,543","+104,259","1,733,951"

"
Europe
","45,863,910","+98,289","1,044,243","+2,284","41,406,633","+156,666","3,413,034"

"
Africa
","4,708,638","+9,440","125,938",+234,"4,243,248","+7,758","339,452"

"
Oceania
","65,404",+258,"1,222",+4,"61,327",+105,"2,855"

"

",721,,15,,706,,0

World,"161,820,939","+744,034","3,358,238","+13,427","140,655,366","+805,319","17,807,335"

China,"90,808",+9,"4,636  ",,"85,881",+20,291

USA,"33,626,097","+39,825","598,540 ",+762,"26,667,199","+46,970","6,360,358"

India,"24,046,120","+343,288","262,350 ","+3,999","20,073,367","+344,931","3,710,403"

Brazil,"15,436,827","+75,141","430,596 ","+2,340","13,979,329","+55,112","1,026,902"

France,"5,841,129","+19,461","107,250 ",+131,"4,999,210","+38,929","734,669"

Turkey,"5,083,996","+11,534","44,059 ",+238,"4,856,763","+55,472","183,174"

Russia,"4,913,439","+8,380","114,723 ",+392,"4,527,878","+9,349","270,838"

UK,"4,444,631","+2,657","127,651 ",+11,"4,258,298","+2,195","58,682"

Italy,"4,139,160","+8,085","123,745 ",+201,"3,669,407","+14,295","346,008"

Spain,"3,598,452","+5,701","79,281 ",+73,"3,297,340","+6,184","221,831"

Germany,"3,575,644","+17,496","86,276 ",+267,"3,240,300","+20,000","249,068"

Argentina,"3,242,103","+26,531","69,254 ",+447,"2,891,435","+22,094","281,414"

Colombia,"3,067,879","+19,160","79,760 ",+499,"2,874,656","+15,029","113,463"

Poland,"2,845,726","+3,694","71,022 ",+343,"2,584,751","+2,232","189,953"

Iran,"2,722,007","+14,246","76,231 ",+297,"2,179,890","+17,803","465,886"

Mexico,"2,371,483","+3,090","219,590 ",+267,"1,893,236","+2,184","258,657"

Ukraine,"2,135,886","+6,813","47,333 ",+346,"1,816,643","+19,507","271,910"

Peru,"1,873,316","+7,677","65,316 ",+418,"1,720,665",,"87,335"

Indonesia,"1,731,652","+3,448","47,716 ",+99,"1,589,079","+4,201","94,857"

Czechia,"1,649,960","+1,266","29,846 ",+25,"1,588,247",+96,"31,867"

South Africa,"1,605,252","+3,221","55,012 ",+44,"1,520,878","+1,144","29,362"

Netherlands,"1,583,767","+6,013","17,413 ",+14,"1,346,626","+6,669","219,728"

Canada,"1,312,414","+6,644","24,825 ",+59,"1,212,114","+7,786","75,475"

Chile,"1,266,601","+6,153","27,520 ",+136,"1,204,176","+4,744","34,905"

Iraq,"1,132,092","+4,512","15,883 ",+28,"1,028,627","+5,043","87,582"

Philippines,"1,124,683","+6,344","18,821 ",+107,"1,050,551","+4,197","55,311"

Romania,"1,069,770",+953,"29,308 ",+75,"1,020,194","+1,552","20,268"

Sweden,"1,027,934",,"14,267 ",,"871,072","+8,837","142,595"

Belgium,"1,023,583","+3,251","24,630 ",+21,"897,904",,"101,049"

Pakistan,"870,703","+3,265","19,336 ",+126,"776,315","+4,623","75,052"

Portugal,"840,929",+436,"16,999 ",+1,"801,961",+340,"21,969"

Israel,"839,059",+29,"6,379 ",,"831,888",+62,792

Hungary,"795,200","+1,416","28,970 ",+82,"600,461","+8,021","165,769"

Bangladesh,"778,687","+1,290","12,076 ",+31,"719,619","+1,370","46,992"

Jordan,"722,754",+418,"9,203 ",+23,"710,410","+1,556","3,141"

Serbia,"704,398",+901,"6,629 ",+18,"671,361","+2,051","26,408"

Switzerland,"677,210",,"10,728 ",+3,"612,471",,"54,011"

Japan,"658,629","+7,058","11,165 ",+101,"573,913","+5,355","73,551"

Austria,"634,893",+933,"10,444 ",+16,"611,254","+1,588","13,195"

UAE,"542,158","+1,512","1,623 ",+4,"522,356","+1,474","18,179"

Lebanon,"534,968",+580,"7,569 ",+20,"492,270","+1,965","35,129"

Morocco,"514,670",+238,"9,091 ",+3,"502,205",+513,"3,374"

Malaysia,"458,077","+4,855","1,788 ",+27,"414,707","+3,347","41,582"

Nepal,"431,191","+8,842","4,466 ",+214,"321,518","+5,055","105,207"

Saudi Arabia,"430,505","+1,116","7,122 ",+11,"414,139","+1,129","9,244"

Bulgaria,"413,320",+506,"17,194 ",+44,"360,002","+2,853","36,124"

Ecuador,"405,783","+1,151","19,442 ",+93,"342,878",,"43,463"

Slovakia,"386,868",+328,"12,135 ",+39,"369,648",+545,"5,085"

Belarus,"372,242",+837,"2,671 ",+10,"362,806",+694,"6,765"

Greece,"371,712","+2,158","11,266 ",+55,"333,892",,"26,554"

Panama,"369,455",+525,"6,288 ",+3,"358,358",+314,"4,809"

Kazakhstan,"350,591","+2,283","3,984 ",+20,"307,464","+2,791","39,143"

Croatia,"348,158","+1,064","7,623 ",+34,"332,669","+1,281","7,866"

Azerbaijan,"328,668",+509,"4,742 ",+16,"311,198","+1,427","12,728"

Georgia,"326,441",+776,"4,379 ",+16,"306,264","+1,329","15,798"

Bolivia,"324,868","+2,290","13,345 ",+37,"266,512","+1,495","45,011"

Tunisia,"324,823",+720,"11,693 ",+56,"284,754","+1,484","28,376"

Paraguay,"307,457","+2,568","7,427 ",+69,"254,360","+1,935","45,670"

Palestine,"303,270",,"3,401 ",,"288,891",,"10,978"

Kuwait,"289,243","+1,059","1,674 ",+5,"274,554","+1,265","13,015"

Costa Rica,"279,926","+3,039","3,514 ",+32,"219,105","+1,421","57,307"

Dominican Republic,"274,319",+822,"3,560 ",+6,"232,625",+244,"38,134"

Ethiopia,"264,960",+593,"3,951 ",+13,"215,734",+926,"45,275"

Denmark,"263,514","+1,355","2,499 ",,"248,683",+828,"12,332"

Lithuania,"262,350","+1,151","4,072 ",+8,"236,442","+1,177","21,836"

Ireland,"254,450",+437,"4,937  ",,"236,747",+346,"12,766"

Moldova,"253,386",+213,"5,995 ",+14,"244,298",+225,"3,093"

Slovenia,"248,046",+597,"4,308 ",+4,"235,106",+917,"8,632"

Egypt,"242,120","+1,193","14,150 ",+59,"179,261",+456,"48,709"

Guatemala,"238,787","+1,105","7,832 ",+17,"218,321","+1,102","12,634"

Uruguay,"231,901","+3,799","3,318 ",+66,"201,367","+2,445","27,216"

Honduras,"222,992",+874,"5,853 ",+64,"82,187",+214,"134,952"

Armenia,"220,217",+267,"4,291 ",+19,"206,752",+674,"9,174"

Qatar,"212,423",+299,522 ,+3,"205,160",+752,"6,741"

Venezuela,"211,838",+890,"2,352 ",+15,"195,380","+1,214","14,106"

Oman,"202,713",,"2,148 ",,"186,391",,"14,174"

Bosnia and Herzegovina,"202,003",+207,"8,958 ",+15,"168,145",+441,"24,900"

Bahrain,"196,105","+1,816",715 ,+10,"179,958","+1,500","15,432"

Libya,"181,179",+234,"3,085 ",+3,"167,629",+307,"10,465"

Nigeria,"165,612",+53,"2,066 ",,"156,387",+13,"7,159"

Kenya,"164,720",+334,"2,968 ",+18,"113,248",+124,"48,504"

North Macedonia,"154,494",+123,"5,168 ",+17,"143,069","+3,803","6,257"

Myanmar,"143,004",+7,"3,212 ",+1,"132,069",+5,"7,723"

Sri Lanka,"135,796","+3,269",892 ,+24,"108,802","+1,145","26,102"

Albania,"131,890",+45,"2,426 ",+3,"121,122","+1,050","8,342"

S. Korea,"129,633",+715,"1,891 ",+7,"119,906",+533,"7,836"

Latvia,"126,387",+698,"2,240 ",+17,"114,981",,"9,166"

Estonia,"126,363",+299,"1,212 ",+2,"117,582",+474,"7,569"

Algeria,"124,889",+207,"3,355 ",+5,"87,003",+146,"34,531"

Cuba,"120,561","+1,186",778 ,+10,"113,493","+1,032","6,290"

Norway,"118,315",+320,774 ,,"88,952",,"28,589"

Kyrgyzstan,"99,645",+329,"1,681 ",+6,"92,718",+309,"5,246"

Montenegro,"98,619",+73,"1,551 ",+3,"95,544",+176,"1,524"

Uzbekistan,"95,826",+359,667 ,+1,"91,301",+325,"3,858"

Thailand,"93,794","+4,887",518 ,+32,"60,615","+1,572","32,661"

Ghana,"93,159",+34,783 ,,"90,992",+82,"1,384"

Zambia,"92,262",+51,"1,260 ",+1,"90,635",+61,367

Finland,"89,532",+262,930 ,,"46,000",,"42,602"

Cameroon,"74,946",,"1,152 ",,"70,497",,"3,297"

El Salvador,"70,915",,"2,173 ",+5,"66,418",,"2,324"

